تاريخ البيع,إسم المنتج,صنف المنتج,المدينة,السعر (رس),الكمية المباعة,السعر الإجمالي (رس)
2023-09-22,بكج توزيعات نحلم ونحقق,هدايا,خميس مشيط,334.65,11,4890.6
2023-09-16,توزيعات شنطة الأناقة,هدايا,الدمام,462.37,15,5827.799999999999
2023-09-22,عقال رجالي مقصب,ملابس,الرياض,418.05,55,11365.5
2023-09-20,سديري الهوية الوطنية,ملابس,الدمام,153.12,80,16727.62
2023-09-17,سديري اليوم الوطني بالاسم,ملابس,الرياض,301.73,76,11809.5
2023-09-18,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,الرياض,223.91,80,8504.25
2023-09-15,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,108.18,23,11393.939999999999
2023-09-18,شال اليوم الوطني (هيا لنا دار),ملابس,الدمام,101.39,24,16297.250000000002
2023-09-21,سديري اليوم الوطني بالاسم,ملابس,جدة,133.65,69,27081.2
2023-09-16,بشت اليوم الوطني بالاسم,ملابس,جدة,419.46,91,3690.4500000000003
2023-09-20,دقلة اليوم الوطني,ملابس,خميس مشيط,258.32,43,5085.72
2023-09-17,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,خميس مشيط,86.54,99,24589.23
2023-09-21,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,خميس مشيط,177.12,77,15564.78
2023-09-19,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,الدمام,214.94,95,11315.369999999999
2023-09-18,سديري اليوم الوطني بالاسم,ملابس,الرياض,92.47,76,4097.28
2023-09-21,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الرياض,85.39,3,25768.68
2023-09-19,شال اليوم الوطني (هيا لنا دار),ملابس,الرياض,99.08,44,13879.64
2023-09-19,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,الدمام,118.37,87,6738.97
2023-09-21,سديري ولادي اليوم الوطني 93,ملابس,الرياض,60.55,87,6950.860000000001
2023-09-15,دقلة اليوم الوطني,ملابس,جدة,186.07,35,12212.64
2023-09-16,بربتوز ولادي اليوم الوطني 93,ملابس,الدمام,209.25,46,5192.2
2023-09-19,شال اليوم الوطني السعودي 93 - الدرعية والعلا ( وشاح قماشي ),ملابس,خميس مشيط,311.16,29,5275.0
2023-09-22,دقلة اليوم الوطني,ملابس,خميس مشيط,64.19,40,4455.87
2023-09-17,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,جدة,303.79,94,27226.98
2023-09-18,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,448.0,74,6678.7
2023-09-22,شال اليوم الوطني السعودي 93 - الدرعية والعلا ( وشاح قماشي ),ملابس,خميس مشيط,295.19,70,14866.22
2023-09-16,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,خميس مشيط,279.65,65,9279.619999999999
2023-09-21,بشت اليوم الوطني بالاسم,ملابس,الدمام,463.49,95,37151.4
2023-09-16,دقلة اليوم الوطني,ملابس,الدمام,73.14,55,12582.22
2023-09-19,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,الدمام,126.07,56,23977.6
2023-09-19,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,جدة,307.74,29,491.76
2023-09-16,بشت اليوم الوطني,ملابس,جدة,143.18,22,21191.52
2023-09-18,سديري الهوية الوطنية,ملابس,جدة,163.74,31,5449.5
2023-09-15,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,خميس مشيط,401.06,39,11850.960000000001
2023-09-16,بشت اليوم الوطني مزخرف,ملابس,الدمام,168.62,51,24653.32
2023-09-17,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,الدمام,401.78,56,165.81
2023-09-21,بشت اليوم الوطني,ملابس,جدة,151.59,84,768.5
2023-09-19,بربتوز ولادي اليوم الوطني 93,ملابس,جدة,105.89,62,15086.060000000001
2023-09-21,شال نسائي اليوم الوطني,ملابس,الدمام,456.07,89,6612.0
2023-09-16,شال اليوم الوطني (هيا لنا دار),ملابس,الرياض,314.07,5,3998.94
2023-09-18,شال اليوم الوطني (هيا لنا دار),ملابس,الرياض,368.22,34,25544.699999999997
2023-09-18,عقال رجالي مقصب,ملابس,خميس مشيط,463.27,62,6557.2
2023-09-22,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,خميس مشيط,85.41,83,15831.36
2023-09-15,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,خميس مشيط,305.64,23,6524.84
2023-09-20,توزيعات شنطة الأناقة,هدايا,الدمام,416.6,30,10611.97
2023-09-18,فستان اليوم الوطني السعودي 93,ملابس,جدة,229.04,22,6895.830000000001
2023-09-16,دقلة اليوم الوطني (اسود),ملابس,خميس مشيط,404.13,3,25811.28
2023-09-17,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,الدمام,247.59,11,10125.52
2023-09-17,بشت اليوم الوطني مع اضافه الاسم,ملابس,خميس مشيط,441.63,97,13706.24
2023-09-21,بشت اليوم الوطني,ملابس,الرياض,223.49,14,20720.84
2023-09-15,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,خميس مشيط,263.2,12,2871.28
2023-09-20,بروش سيفين ونخلة - ( معدن ),هدايا,الرياض,401.36,56,11204.2
2023-09-18,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الرياض,212.73,79,648.42
2023-09-18,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,خميس مشيط,411.27,54,29196.030000000002
2023-09-21,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,خميس مشيط,137.7,20,21097.8
2023-09-21,سديري الهوية الوطنية,ملابس,الدمام,64.28,36,9000.6
2023-09-16,جاكيت اطفال اليوم الوطني,ملابس,جدة,421.12,78,42266.770000000004
2023-09-17,بكج توزيعات نحلم ونحقق,هدايا,جدة,273.09,15,3696.6
2023-09-15,سديري اليوم الوطني بالاسم,ملابس,الدمام,391.97,98,8465.08
2023-09-19,بشت اليوم الوطني مع اضافه الاسم,ملابس,خميس مشيط,416.45,50,2316.56
2023-09-19,جاكيت اطفال اليوم الوطني,ملابس,الرياض,478.01,75,2386.44
2023-09-22,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,خميس مشيط,76.77,36,15904.32
2023-09-21,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,جدة,436.08,19,9256.0
2023-09-18,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,جدة,453.33,27,8480.789999999999
2023-09-17,شال اليوم الوطني (نحلم ونحقق),ملابس,الدمام,99.07,7,8353.0
2023-09-19,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الرياض,381.15,7,9915.15
2023-09-18,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,خميس مشيط,112.13,28,19128.12
2023-09-21,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,الدمام,67.34,8,15112.84
2023-09-18,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,خميس مشيط,490.73,66,19072.600000000002
2023-09-16,تيشرت نحلم ونحقق,ملابس,الرياض,215.18,14,1177.96
2023-09-20,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,جدة,65.47,61,37705.15
2023-09-22,مجموعة 6 بوكسات,هدايا,الدمام,295.79,60,9722.88
2023-09-17,تيشرت نحلم ونحقق,ملابس,جدة,413.3,81,5667.799999999999
2023-09-21,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,خميس مشيط,322.31,57,28620.24
2023-09-17,سديري الهوية الوطنية,ملابس,خميس مشيط,416.9,16,17111.0
2023-09-20,شال اليوم الوطني (هيا لنا دار),ملابس,الدمام,313.41,14,15054.929999999998
2023-09-15,شال اليوم الوطني (نحلم ونحقق),ملابس,الدمام,178.85,72,45165.85
2023-09-21,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,الرياض,400.54,90,29113.280000000002
2023-09-18,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,خميس مشيط,119.52,28,19313.84
2023-09-18,سديري الهوية الوطنية,ملابس,خميس مشيط,461.85,47,13010.82
2023-09-19,بكج توزيعات نحلم ونحقق,هدايا,الدمام,466.91,71,2947.04
2023-09-18,سديري الهوية الوطنية,ملابس,خميس مشيط,304.01,75,32697.729999999996
2023-09-21,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الدمام,236.61,80,6048.9
2023-09-17,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الرياض,116.27,44,12068.16
2023-09-19,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,الدمام,58.1,61,18421.63
2023-09-22,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,خميس مشيط,248.59,54,1354.5
2023-09-16,فستان اليوم الوطني السعودي 93,ملابس,جدة,403.82,93,32571.840000000004
2023-09-17,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,خميس مشيط,377.53,42,10356.72
2023-09-20,بشت اليوم الوطني بالاسم,ملابس,الدمام,417.18,17,5381.5199999999995
2023-09-20,عقال مقصب,ملابس,خميس مشيط,125.65,95,7899.299999999999
2023-09-17,بكج توزيعات نحلم ونحقق,هدايا,جدة,469.02,35,8416.26
2023-09-21,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,خميس مشيط,265.85,10,1355.75
2023-09-18,فستان اليوم الوطني السعودي 93,ملابس,جدة,232.4,19,21942.55
2023-09-22,ستيكرات لاصقة (عدد 40)  شعار اليوم الوطني 93,هدايا,خميس مشيط,92.18,64,36681.4
2023-09-21,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,الرياض,220.01,65,14266.0
2023-09-17,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,الرياض,310.16,80,11991.0
2023-09-21,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,خميس مشيط,302.19,94,18595.030000000002
2023-09-20,مجموعة 12 كرت حامل,هدايا,جدة,493.06,3,27472.280000000002
2023-09-17,بربتوز ولادي اليوم الوطني 93,ملابس,الدمام,310.05,49,2861.8799999999997
2023-09-18,سديري الهوية الوطنية,ملابس,الدمام,81.27,63,24583.499999999996
2023-09-15,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,جدة,232.8,86,25833.0
2023-09-17,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,جدة,90.62,52,10207.119999999999
2023-09-19,دقلة اليوم الوطني (اسود),ملابس,خميس مشيط,210.62,2,38145.0
2023-09-22,شال نسائي اليوم الوطني,ملابس,خميس مشيط,286.02,69,3293.5
2023-09-21,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,442.57,50,964.92
2023-09-18,بشت اليوم الوطني مع اضافه الاسم,ملابس,الرياض,348.59,69,12538.079999999998
2023-09-20,بشت اليوم الوطني,ملابس,الرياض,478.1,7,31504.41
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,الرياض,143.65,65,1826.28
2023-09-21,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,الرياض,240.12,70,1947.6
2023-09-18,عقال رجالي مقصب,ملابس,الدمام,74.25,78,23706.749999999996
2023-09-16,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,خميس مشيط,261.03,27,2874.32
2023-09-15,شال نسائي اليوم الوطني,ملابس,الدمام,395.74,96,3570.71
2023-09-19,فستان اليوم الوطني السعودي 93,ملابس,خميس مشيط,253.96,86,3038.2000000000003
2023-09-18,عقال رجالي مقصب,ملابس,الرياض,137.79,99,38218.18
2023-09-17,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,الرياض,316.33,11,5338.32
2023-09-18,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,جدة,227.32,62,16498.5
2023-09-22,جاكيت اطفال اليوم الوطني,ملابس,الدمام,111.09,66,4781.28
2023-09-22,دقلة اليوم الوطني,ملابس,جدة,55.47,44,28539.6
2023-09-18,بكج توزيعات نحلم ونحقق,هدايا,الدمام,454.5,12,14139.92
2023-09-15,شال نسائي اليوم الوطني,ملابس,الدمام,354.34,58,2352.2
2023-09-18,مجموعة 6 بوكسات,هدايا,جدة,278.4,77,300.92
2023-09-17,تيشرت نحلم ونحقق,ملابس,جدة,317.83,79,5405.44
2023-09-21,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,خميس مشيط,289.76,73,251.1
2023-09-15,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,الدمام,204.9,62,16956.66
2023-09-19,مجموعة 12 كرت حامل,هدايا,جدة,352.26,2,12576.3
2023-09-15,سديري ولادي اليوم الوطني 93,ملابس,الدمام,264.66,56,4830.75
2023-09-20,بشت اليوم الوطني مع اضافه الاسم,ملابس,الدمام,63.36,84,28924.16
2023-09-18,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,جدة,328.88,25,35824.8
2023-09-15,سديري الهوية الوطنية,ملابس,جدة,357.91,91,4249.4800000000005
2023-09-21,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,الدمام,268.87,59,7013.9400000000005
2023-09-20,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الدمام,418.56,78,4680.12
2023-09-21,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,الرياض,368.84,18,4139.700000000001
2023-09-15,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,جدة,193.52,18,25508.16
2023-09-17,سديري الهوية الوطنية,ملابس,جدة,326.79,99,3280.11
2023-09-21,ستيكرات لاصقة (عدد 40)  شعار اليوم الوطني 93,هدايا,الدمام,481.68,27,33582.630000000005
2023-09-16,ستيكرات لاصقة (عدد 40)  شعار اليوم الوطني 93,هدايا,الدمام,380.85,47,1576.8000000000002
2023-09-15,شال نسائي اليوم الوطني,ملابس,الرياض,136.97,20,4670.66
2023-09-20,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,الرياض,249.63,40,27794.38
2023-09-22,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,خميس مشيط,245.04,35,4678.4
2023-09-17,بشت اليوم الوطني,ملابس,الدمام,219.58,75,8973.8
2023-09-15,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,الرياض,395.57,66,18497.82
2023-09-19,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,الرياض,451.02,44,12647.699999999999
2023-09-19,لوقو اكريليك دائري لليوم الوطني93 (درزن عدد 12 قطعة),هدايا,جدة,382.91,76,9869.58
2023-09-16,توزيعات شنطة الأناقة,هدايا,الرياض,71.17,7,15172.4
2023-09-15,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,الدمام,81.26,52,7208.549999999999
2023-09-16,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,خميس مشيط,191.63,90,15518.099999999999
2023-09-18,سديري الهوية الوطنية,ملابس,خميس مشيط,256.54,3,40536.299999999996
2023-09-21,دقلة اليوم الوطني,ملابس,الرياض,205.13,93,10507.14
2023-09-17,شال اليوم الوطني (هيا لنا دار),ملابس,جدة,142.91,63,9592.1
2023-09-21,بروش سيفين ونخلة - ( معدن ),هدايا,جدة,353.07,88,1962.9
2023-09-18,دقلة اليوم الوطني,ملابس,خميس مشيط,335.33,96,282.93
2023-09-17,توزيعات شنطة الأناقة,هدايا,الدمام,80.81,70,17471.600000000002
2023-09-22,بربتوز ولادي اليوم الوطني 93,ملابس,جدة,154.46,61,41583.72
2023-09-21,بشت اليوم الوطني,ملابس,خميس مشيط,465.28,27,2454.43
2023-09-18,شال اليوم الوطني (هيا لنا دار),ملابس,الرياض,460.13,44,12207.75
2023-09-18,بشت اليوم الوطني السعودي 93,ملابس,جدة,253.23,95,1158.64
2023-09-15,دقلة اليوم الوطني,ملابس,جدة,421.31,38,18003.75
2023-09-21,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,328.69,68,10068.08
2023-09-19,توزيعات شنطة الأناقة,هدايا,الرياض,244.32,58,8433.36
2023-09-21,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,جدة,496.43,49,38301.82
2023-09-20,فستان اليوم الوطني السعودي 93,ملابس,جدة,173.13,51,3808.32
2023-09-16,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,الدمام,65.98,90,144.62
2023-09-21,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الرياض,223.26,59,11314.75
2023-09-15,بروش سيفين ونخلة - ( معدن ),هدايا,جدة,377.24,28,6727.05
2023-09-16,سديري الهوية الوطنية,ملابس,جدة,249.32,45,30394.0
2023-09-18,تيشرت نحلم ونحقق,ملابس,جدة,305.06,49,10226.49
2023-09-19,سديري اليوم الوطني بالاسم,ملابس,الدمام,485.39,37,12312.11
2023-09-18,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,الرياض,332.51,7,25998.620000000003
2023-09-19,جاكيت ولادي او بناتي اليوم الوطني 93,ملابس,الرياض,355.54,58,29819.399999999998
2023-09-20,بشت اليوم الوطني,ملابس,جدة,154.17,83,12322.8
2023-09-21,لوقو اكريليك دائري لليوم الوطني93 (درزن عدد 12 قطعة),هدايا,جدة,377.43,18,6705.18
2023-09-17,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,252.66,18,11065.0
2023-09-16,شال اليوم الوطني (نحلم ونحقق),ملابس,الرياض,390.13,25,9813.2
2023-09-18,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,خميس مشيط,490.15,25,14396.400000000001
2023-09-18,أقفاص حلويات بشعار اليوم الوطني نحلم,هدايا,الدمام,123.9,65,3750.86
2023-09-19,تيشرت نحلم ونحقق,ملابس,الدمام,292.59,34,7262.33
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,143.38,21,17201.1
2023-09-22,شال نسائي اليوم الوطني,ملابس,الرياض,283.44,64,44717.76
2023-09-20,كاب بهوية اليوم الوطني 93 - قبعة,هدايا,الرياض,404.16,71,39445.02
2023-09-19,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,الرياض,245.22,80,13681.920000000002
2023-09-18,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,الرياض,95.01,9,11304.960000000001
2023-09-22,دقلة اليوم الوطني (اسود),ملابس,الدمام,164.96,99,14548.140000000001
2023-09-22,بكج توزيعات نحلم ونحقق,هدايا,الرياض,180.5,1,4360.66
2023-09-21,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,خميس مشيط,205.49,27,17193.52
2023-09-19,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,الرياض,385.06,38,29070.64
2023-09-16,سديري اليوم الوطني بالاسم,ملابس,خميس مشيط,429.95,94,22116.25
2023-09-18,بروش علم السعودية - ( معدن ),هدايا,خميس مشيط,272.24,71,16324.74
2023-09-22,بوكس مفأجات اليوم الوطني نحلم ونحقق,هدايا,جدة,215.4,14,14730.4
2023-09-16,شال نسائي اليوم الوطني,ملابس,خميس مشيط,344.28,79,12004.89
2023-09-19,بشت اليوم الوطني بالاسم,ملابس,جدة,273.36,6,2656.0
2023-09-21,مجموعة 6 بوكسات,هدايا,خميس مشيط,342.42,94,4996.46
2023-09-21,سديري ولادي اليوم الوطني 93,ملابس,جدة,280.44,99,1710.72
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,151.92,65,1615.04
2023-09-17,بروش علم السعودية - ( معدن ),هدايا,الدمام,180.56,65,2950.48
2023-09-21,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,خميس مشيط,173.5,6,10441.199999999999
2023-09-15,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,خميس مشيط,86.84,25,3502.32
2023-09-15,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,الدمام,148.2,39,13135.26
2023-09-21,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الدمام,352.32,19,1011.76
2023-09-21,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,جدة,159.62,72,5767.68
2023-09-19,بشت اليوم الوطني مع اضافه الاسم,ملابس,الرياض,251.02,27,29749.98
2023-09-19,بشت اليوم الوطني بالاسم,ملابس,خميس مشيط,135.33,64,11121.04
2023-09-21,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,الدمام,275.81,98,3555.2
2023-09-19,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,جدة,299.87,92,15973.51
2023-09-19,جاكيت ولادي او بناتي اليوم الوطني 93,ملابس,الدمام,350.47,25,22676.050000000003
2023-09-18,شال اليوم الوطني السعودي 93 - الدرعية والعلا ( وشاح قماشي ),ملابس,الرياض,63.53,2,170.92
2023-09-22,بشت اليوم الوطني السعودي 93,ملابس,جدة,57.22,16,6759.799999999999
2023-09-16,وشاح أخضر مطبوع بشعار اليوم الوطني93 نحلم ونحقق,ملابس,جدة,346.97,10,11060.28
2023-09-18,لوقو اكريليك شعار اليوم الوطني93 (درزن عدد 12 قطعة),هدايا,جدة,232.88,51,457.09
2023-09-16,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,الرياض,269.29,3,2347.75
2023-09-18,عقال رجالي مقصب,ملابس,الرياض,412.39,29,5975.5
2023-09-19,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,جدة,218.76,92,10044.75
2023-09-21,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,الدمام,210.64,80,6063.0
2023-09-15,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,الدمام,310.25,40,3773.12
2023-09-22,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,جدة,456.04,100,5626.32
2023-09-19,ستيكرات لاصقة (عدد 40)  شعار اليوم الوطني 93,هدايا,خميس مشيط,339.92,21,4621.56
2023-09-19,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الدمام,371.72,18,40084.86
2023-09-17,مجموعة 12 كرت حامل,هدايا,جدة,206.93,11,15360.029999999999
2023-09-17,دقلة اليوم الوطني,ملابس,الدمام,176.9,27,5175.84
2023-09-22,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,84.38,33,7729.92
2023-09-16,شال اليوم الوطني السعودي 93 - المكعب والفضاء ( وشاح قماشي ),ملابس,الرياض,428.83,96,2861.19
2023-09-16,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,الرياض,340.5,26,16956.0
2023-09-20,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,الدمام,489.34,12,8266.5
2023-09-16,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,جدة,392.14,33,6080.97
2023-09-16,توزيعات شنطة الأناقة,هدايا,الرياض,197.27,52,18814.84
2023-09-15,سديري ولادي اليوم الوطني 93,ملابس,الدمام,137.65,49,24782.839999999997
2023-09-22,تيشرت خارطة المملكة مع اسم المنطقة,ملابس,الدمام,410.98,54,263.0
